Level	Date and Time	Source	Event ID	Task Category
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.701
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\AssocProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.701
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 11:37:10	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 06:07:10.701
ProcessGuid: {2bd09a4a-1c0c-682c-db03-000000002000}
ProcessId: 3028
Image: C:\Windows\system32\cleanmgr.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\2E8A35B3-0EBB-4E37-B505-3CF66FAB53B0\AppxProvider.dll
CreationUtcTime: 2025-05-20 06:07:10.701
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 10:29:39	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 04:59:39.085
ProcessGuid: {2bd09a4a-0c3a-682c-a603-000000002000}
ProcessId: 428
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\__PSScriptPolicyTest_mo4ngztr.ig1.ps1
CreationUtcTime: 2025-05-20 04:59:39.085
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 10:25:23	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 04:55:23.659
ProcessGuid: {2bd09a4a-0b3b-682c-9403-000000002000}
ProcessId: 5864
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\__PSScriptPolicyTest_juuyj3ql.k4v.ps1
CreationUtcTime: 2025-05-20 04:55:23.659
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 10:25:15	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 04:55:15.852
ProcessGuid: {2bd09a4a-0b33-682c-9103-000000002000}
ProcessId: 5568
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetFilename: C:\Users\mohan\AppData\Local\Temp\__PSScriptPolicyTest_pjmqzp4c.sef.ps1
CreationUtcTime: 2025-05-20 04:55:15.852
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 09:29:57	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: -
UtcTime: 2025-05-20 03:59:57.719
ProcessGuid: {2bd09a4a-fe39-682b-3003-000000002000}
ProcessId: 6972
Image: C:\Windows\system32\notepad.exe
TargetFilename: C:\Windows\System32\brute-force-simulate.ps1
CreationUtcTime: 2025-05-20 03:59:57.719
User: DESKTOP-L7UOH9E\mohan"
Information	20-05-2025 08:44:57	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 03:14:57.682
ProcessGuid: {2bd09a4a-f3b1-682b-0003-000000002000}
ProcessId: 2100
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_32\Temp\834-0\SrpUxSnapIn.dll
CreationUtcTime: 2025-05-20 03:14:57.682
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 08:44:57	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 03:14:57.214
ProcessGuid: {2bd09a4a-f3b0-682b-fe02-000000002000}
ProcessId: 6240
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_32\Temp\1860-0\Microsoft.ApplicationId.RuleWizard.dll
CreationUtcTime: 2025-05-20 03:14:57.214
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 08:44:56	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 03:14:56.807
ProcessGuid: {2bd09a4a-f3b0-682b-fc02-000000002000}
ProcessId: 1876
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_32\Temp\754-0\Microsoft.Security.ApplicationId.Wizards.AutomaticRuleGenerationWizard.dll
CreationUtcTime: 2025-05-20 03:14:56.807
User: NT AUTHORITY\SYSTEM"
Information	20-05-2025 08:44:56	Microsoft-Windows-Sysmon	11	File created (rule: FileCreate)	"File created:
RuleName: DLL
UtcTime: 2025-05-20 03:14:56.464
ProcessGuid: {2bd09a4a-f3b0-682b-fa02-000000002000}
ProcessId: 8224
Image: C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe
TargetFilename: C:\Windows\assembly\NativeImages_v4.0.30319_32\Temp\2020-0\Microsoft.ApplicationId.Framework.dll
CreationUtcTime: 2025-05-20 03:14:56.464
User: NT AUTHORITY\SYSTEM"
